1.1330562978e+00	1.2215196030e+00	1.2777780467e+00	1.1434178729e+00	1.1386298038e+00	9.9665454145e-01	
9.8619377006e-01	8.6366590552e-01	1.2611353078e+00	9.9013787853e-01	9.4540868667e-01	
1.1048599753e+00	1.1586159224e+00	1.1672188024e+00	1.1240278805e+00	8.1668820307e-01	1.1269987745e+00	
1.1403563135e+00	9.5962726237e-01	1.0533882850e+00	1.1488818129e+00	1.1304036333e+00	1.0297917531e+00	
1.3799791383e+00	1.2119181629e+00	9.5732665342e-01	9.3857554340e-01	9.5594073324e-01	9.1854808351e-01	
1.3973855058e+00	1.1125693228e+00	1.4220100314e+00	1.3558812519e+00	1.0566097523e+00	1.1225892052e+00	
1.0373022490e+00	9.5328918323e-01	1.0270842220e+00	9.6792518917e-01	9.1035908268e-01	
1.3656630281e+00	1.3592466417e+00	8.7600019493e-01	8.7563754340e-01	1.0637833619e+00	
1.7327627378e+00	1.4562359228e+00	1.4474851655e+00	1.3723867236e+00	1.3880705096e+00	1.1555948435e+00	1.2925510884e+00	
1.3352262007e+00	1.4139563862e+00	1.2289050659e+00	1.3745586761e+00	1.2259826047e+00	1.1557745374e+00	1.2044124003e+00	
1.5890543634e+00	1.5187160711e+00	1.5808774139e+00	1.4239966394e+00	1.4460118922e+00	1.4482047796e+00	1.2476806555e+00	
1.5221354606e+00	1.3275197275e+00	1.4517624302e+00	1.2784836362e+00	1.1230993471e+00	1.2616621461e+00	
1.7172427679e+00	1.5302497019e+00	1.6997093684e+00	1.2329261006e+00	1.3248307122e+00	1.2461959464e+00	1.4066786589e+00	1.5073230206e+00	
1.2310186390e+00	1.5166152865e+00	1.0682725696e+00	1.2621859019e+00	1.2870231115e+00	1.1981199419e+00	
1.2284856327e+00	1.5334372865e+00	1.0718871484e+00	1.2524153296e+00	1.2820517571e+00	1.1660503140e+00	
1.3783259669e+00	1.2112113347e+00	1.1357278061e+00	1.2018333706e+00	1.2820517571e+00	1.4572039005e+00	
1.3886495376e+00	1.1921919402e+00	1.1358400848e+00	1.2040305090e+00	1.2870231115e+00	1.4140162202e+00	
