55.1064  25 -1.48936  0 1.48936  0 0.729366  -1.51896 -0.733561  -1.16108 -65.1064  -35 -65.1064  -35 -65.1064  -35 -65.1064  -35 
56.5957  25 -1.48936  0 1.48936  0 -0.759996  -1.51896 0.977324  -1.49934 -66.5957  -35 -66.5957  -35 -66.5957  -35 -66.5957  -35 
58.0851  25 -1.48936  0 1.48936  0 1.02938  -1.27449 -0.512038  -1.49934 -68.0851  -35 -68.0851  -35 -68.0851  -35 -68.0851  -35 
59.5745  25 -1.48936  0 1.48936  0 -0.459977  -1.27449 0.767168  -0.897374 -69.5745  -35 -69.5745  -35 -69.5745  -35 -69.5745  -35 
61.0638  25 -1.48936  0 1.48936  0 -0.722194  -0.897374 0.612919  -1.40759 -71.0638  -35 -71.0638  -35 -71.0638  -35 -71.0638  -35 
62.5532  25 -1.48936  0 1.48936  0 -0.876443  -1.40759 0.739974  -1.07259 -72.5532  -35 -72.5532  -35 -72.5532  -35 -72.5532  -35 
64.0426  25 -1.48936  0 1.48936  0 0.61311  -1.08497 -0.749388  -1.07259 -74.0426  -35 -74.0426  -35 -74.0426  -35 -74.0426  -35 
65.5319  25 -1.48936  0 1.48936  0 0.729732  -1.40284 -0.876252  -1.08497 -75.5319  -35 -75.5319  -35 -75.5319  -35 -75.5319  -35 
67.0213  25 -1.48936  0 1.48936  0 -0.759629  -1.40284 0.514943  -0.866626 -77.0213  -35 -77.0213  -35 -77.0213  -35 -77.0213  -35 
68.5106  25 1.48936  0 -1.48936  0 0.602249  -0.947147 -0.210372  -1.14403 -0.974418  -0.866626 -78.5106  -35 -78.5106  -35 -78.5106  -35 
70  23.5294 0  1.47059 0  -1.47059 -0.887112  0.523441 -1.24748  -0.648831 -80  -33.5294 -80  -33.5294 -80  -33.5294 -80  -33.5294 
70  22.0588 0  1.47059 0  -1.47059 -1.4958  -0.882142 -1.24748  0.821757 -80  -32.0588 -80  -32.0588 -80  -32.0588 -80  -32.0588 
70  20.5882 0  1.47059 0  -1.47059 -1.4958  0.588446 -0.942384  -0.729357 -80  -30.5882 -80  -30.5882 -80  -30.5882 -80  -30.5882 
70  19.1176 0  1.47059 0  -1.47059 -1.40451  -0.56292 -0.942384  0.741232 -80  -29.1176 -80  -29.1176 -80  -29.1176 -80  -29.1176 
70  17.6471 0  1.47059 0  -1.47059 -1.40451  0.907669 -0.973726  -0.476475 -80  -27.6471 -80  -27.6471 -80  -27.6471 -80  -27.6471 
70  16.1765 0  1.47059 0  -1.47059 -1.22964  -1.04511 -0.973726  0.994113 -1.35526  0.109743 -80  -26.1765 -80  -26.1765 -80  -26.1765 
70  14.7059 0  1.47059 0  -1.47059 -1.22964  0.425481 -0.868891  -0.6887 -80  -24.7059 -80  -24.7059 -80  -24.7059 -80  -24.7059 
70  13.2353 0  1.47059 0  -1.47059 -1.29929  -0.334404 -0.868891  0.781888 -80  -23.2353 -80  -23.2353 -80  -23.2353 -80  -23.2353 
70  11.7647 0  1.47059 0  -1.47059 -1.29929  1.13618 -0.91243  -0.861757 -1.36813  -0.0542663 -80  -21.7647 -80  -21.7647 -80  -21.7647 
70  10.2941 0  1.47059 0  -1.47059 -1.20936  -0.414894 -0.91243  0.608831 -80  -20.2941 -80  -20.2941 -80  -20.2941 -80  -20.2941 
70  8.82353 0  1.47059 0  -1.47059 -1.69553  -0.156012 -1.04264  -1.06178 -1.20936  1.05569 -80  -18.8235 -80  -18.8235 -80  -18.8235 
70  7.35294 0  1.47059 0  -1.47059 -1.43597  -0.941762 -1.04264  0.408806 -80  -17.3529 -80  -17.3529 -80  -17.3529 -80  -17.3529 
70  5.88235 0  1.47059 0  -1.47059 -1.43597  0.528826 -0.890218  -0.591513 -80  -15.8824 -80  -15.8824 -80  -15.8824 -80  -15.8824 
70  4.41176 0  1.47059 0  -1.47059 -1.3896  -1.03512 -1.28375  0.115616 -0.890218  0.879075 -80  -14.4118 -80  -14.4118 -80  -14.4118 
70  2.94118 0  1.47059 0  -1.47059 -1.3896  0.435467 -1.10559  -0.90721 -80  -12.9412 -80  -12.9412 -80  -12.9412 -80  -12.9412 
70  1.47059 0  -1.47059 0  1.47059 -0.952393  -0.537166 -1.10559  0.563378 -80  -11.4706 -80  -11.4706 -80  -11.4706 -80  -11.4706 
68.5106  0 1.48936  0 -1.48936  0 0.536969  0.933422 -0.672018  1.15379 -78.5106  -10 -78.5106  -10 -78.5106  -10 -78.5106  -10 
67.0213  0 1.48936  0 -1.48936  0 0.817344  1.15379 -0.378211  0.882341 -77.0213  -10 -77.0213  -10 -77.0213  -10 -77.0213  -10 
65.5319  0 1.48936  0 -1.48936  0 0.415627  1.34861 1.11115  0.882341 -0.685621  1.37208 -75.5319  -10 -75.5319  -10 -75.5319  -10 
64.0426  0 1.48936  0 -1.48936  0 -0.605397  1.41156 0.803741  1.37208 -74.0426  -10 -74.0426  -10 -74.0426  -10 -74.0426  -10 
62.5532  0 1.48936  0 -1.48936  0 -0.331891  1.51465 0.883964  1.41156 -1.2955  1.06258 -72.5532  -10 -72.5532  -10 -72.5532  -10 
