1.5438888989e+00 	1.5198516202e+00 	1.5350005280e+00 	1.3593604302e+00 	1.0882455246e+00 	1.2202296383e+00 	
1.5216946957e+00 	1.4954071731e+00 	1.4400989171e+00 	1.5505122079e+00 	1.3999369860e+00 	1.0394408775e+00 	1.1895614428e+00 	
1.4386005381e+00 	1.3474736234e+00 	1.2973244526e+00 	1.5151304168e+00 	1.3541706513e+00 	9.1444847609e-01 	1.2405609752e+00 	
1.2701912593e+00 	1.3211831655e+00 	1.0699083896e+00 	1.4711680664e+00 	9.0977224644e-01 	1.1259944852e+00 	1.0610890353e+00 	
1.3357199857e+00 	1.2903480919e+00 	1.3535202651e+00 	1.0878880455e+00 	1.1395228772e+00 	9.0485506330e-01 	1.1753863730e+00 	
9.6681656781e-01 	1.1211142758e+00 	8.3327178560e-01 	1.2229464357e+00 	9.8422918030e-01 	
1.5509700367e+00 	1.5052245339e+00 	1.4318653244e+00 	1.2549875341e+00 	1.4732227546e+00 	1.1115450725e+00 	
1.4406776008e+00 	1.5163012032e+00 	1.0182727754e+00 	1.0288246976e+00 	1.2195317477e+00 	1.2406574469e+00 	
1.4474851656e+00 	1.3310273587e+00 	1.4373952231e+00 	1.0137238559e+00 	1.1115568416e+00 	1.2044606944e+00 	
1.6997093677e+00 	1.3165939798e+00 	1.3158877959e+00 	1.4115773164e+00 	1.5453326177e+00 	1.2514481050e+00 	1.3656325983e+00 	
1.3275197279e+00 	1.3225305244e+00 	1.5231716985e+00 	1.0818414802e+00 	1.3674203248e+00 	1.4743942469e+00 	
1.5808774139e+00 	1.1985179470e+00 	1.3218581298e+00 	1.5475045757e+00 	1.3280325620e+00 	1.1856202216e+00 	1.2689665716e+00 	
1.2029513615e+00 	1.3133085243e+00 	1.4762386600e+00 	1.4738694297e+00 	1.0674351950e+00 	1.2174380521e+00 	
1.2524153298e+00 	1.2018333706e+00 	1.4684991360e+00 	1.1583732047e+00 	1.2345191121e+00 	1.1413185719e+00 	
1.2621859019e+00 	1.2040305091e+00 	1.4570586588e+00 	1.1993763468e+00 	1.2765132607e+00 	1.1985794865e+00 	
1.3635283964e+00 	1.6919828776e+00 	1.5368594106e+00 	1.5022457516e+00 	1.5396609594e+00 	1.1331488950e+00 	1.4062857172e+00 	
1.2075404165e+00 	1.3025217997e+00 	1.3282036254e+00 	1.2050813716e+00 	1.1955988588e+00 	9.9362127353e-01 	
1.3961322025e+00 	1.4727382629e+00 	1.2909530426e+00 	1.2279825961e+00 	1.3412523250e+00 	1.3539817356e+00 	
1.3416271044e+00 	1.3215433761e+00 	1.3856697215e+00 	1.4001237953e+00 	1.2692259270e+00 	1.0024749985e+00 	
1.3294893868e+00 	1.2845323419e+00 	1.1622980349e+00 	1.3259023215e+00 	9.9275959017e-01 	9.8817600823e-01 	
1.4083747018e+00 	1.1020005492e+00 	1.4002820351e+00 	1.3250507988e+00 	1.2102643929e+00 	1.1097609698e+00 	
1.3963070215e+00 	1.3549822899e+00 	1.2157714661e+00 	1.1405529430e+00 	1.3136193036e+00 	1.0376139207e+00 	
1.6815033629e+00 	1.5690985277e+00 	1.5864686816e+00 	1.5935759996e+00 	1.5454739871e+00 	1.5234607502e+00 	1.3459289671e+00 	
1.2180379296e+00 	1.2889507397e+00 	1.1287151100e+00 	1.1591617709e+00 	9.7589099161e-01 	1.1351035995e+00 	
1.1827468743e+00 	1.4662854326e+00 	1.0669889839e+00 	1.1393570188e+00 	1.1181460449e+00 	1.2136271100e+00 	
1.7476410034e+00 	1.5904567916e+00 	1.2695859198e+00 	1.7093405349e+00 	1.3959703522e+00 	1.3672605061e+00 	1.1454011896e+00 	
1.6014502693e+00 	1.4434634501e+00 	1.4295439486e+00 	1.1740035077e+00 	1.3640848150e+00 	1.1253281968e+00 	
1.4179976270e+00 	1.3157362557e+00 	1.4059274321e+00 	1.2026000421e+00 	1.2539323980e+00 	1.1402140258e+00 	
1.4922461030e+00 	1.4898077598e+00 	1.3003659796e+00 	1.1217912946e+00 	1.0250496573e+00 	1.0534926667e+00 	
1.3971402308e+00 	1.2511082280e+00 	1.0831428449e+00 	1.1216049017e+00 	1.3779434467e+00 	1.3664452176e+00 	
1.3961971605e+00 	1.2157394885e+00 	1.3430412626e+00 	1.2721406697e+00 	1.1217452920e+00 	1.0958173529e+00 	
1.5786347878e+00 	1.2438811221e+00 	1.2734419427e+00 	1.3521795712e+00 	1.3061600928e+00 	1.0358132499e+00 	1.1657714574e+00 	
1.2983717781e+00 	1.3084328063e+00 	1.3558237734e+00 	1.2373830806e+00 	8.6913920608e-01 	1.2006519685e+00 	
